Ai,VIMET pref,TOPSIS pref,VIKOR pref,PROMETHEE II pref,VIMET rank,TOPSIS rank,VIKOR rank,PROMETHEE II rank
A1,0.24618595206365393,0.08556385917052084,0.9415134445118793,0.1034482758620689,16.0,16.0,16.0,14.0
A2,0.10340999825611652,0.04587564144066556,0.963702785066176,-0.149425287356322,19.0,21.0,18.0,19.0
A3,0.3966698475567027,0.10066948780709922,0.917514532558148,0.18620689655172423,12.0,15.0,11.0,10.0
A4,0.37398458279993513,0.15080548170692987,0.9256300644793951,0.05747126436781602,14.0,11.0,12.0,15.0
A5,0.9841774065922397,0.6240086381512135,0.5,0.8045977011494253,1.0,1.0,3.0,3.0
A6,0.049714823599779474,0.028231170959144056,0.9874597058783114,-0.5333333333333335,25.0,26.0,26.0,27.0
A7,0.13212051735544894,0.05932590317204336,0.967585500718154,-0.1218390804597701,18.0,19.0,19.0,17.0
A8,0.7089035634881109,0.28849067874036666,0.8278564213181663,0.37011494252873567,7.0,7.0,7.0,7.0
A9,0.9324404071818118,0.5098520759718496,0.2233470646887838,0.8252873563218391,3.0,2.0,2.0,1.5
A10,0.0680274869134584,0.03901851900697838,0.982417023150782,-0.3080459770114944,24.0,23.0,24.0,21.0
A11,0.030425378176128528,0.02922563253055189,0.9866801563189994,-0.44827586206896547,27.0,25.0,25.0,26.0
A12,0.9429238750292213,0.5090112880728406,0.13279274075365471,0.8252873563218391,2.0,3.0,1.0,1.5
A13,0.003500638765466824,0.0031810023719461658,0.998927317874094,-0.774712643678161,29.0,29.0,29.0,29.0
A14,0.0826678130127003,0.0403666703648746,0.9806582092403757,-0.3356321839080461,22.0,22.0,23.0,22.0
A15,0.09289573441312167,0.048546686328649134,0.9796865511243269,-0.3586206896551725,21.0,20.0,22.0,23.0
A16,0.009178746383966492,0.010422959963212604,0.996019845759057,-0.6160919540229884,28.0,28.0,28.0,28.0
A17,0.18295100385882399,0.07142279146632,0.957597869053336,-0.1356321839080461,17.0,18.0,17.0,18.0
A18,0.0,0.0009967110185706341,1.0,-0.8413793103448277,30.0,30.0,30.0,30.0
A19,0.3321493172898501,0.11237429841302325,0.9349296013268683,0.13793103448275862,15.0,14.0,14.0,11.0
A20,0.7261534222116706,0.250105864358388,0.754894611827399,0.4988505747126436,6.0,9.0,5.0,6.0
A21,0.6361308500223415,0.20505696581805308,0.8773748866430245,0.3333333333333334,8.0,10.0,10.0,8.0
A22,0.3865323205334395,0.11455855323822625,0.9331118214541021,0.1379310344827585,13.0,13.0,13.0,12.0
A23,0.40959094798458384,0.11587571331331728,0.9359563303240978,0.10574712643678147,11.0,12.0,15.0,13.0
A24,0.037099017668447275,0.021898624355632508,0.9891768507030685,-0.44597701149425284,26.0,27.0,27.0,25.0
A25,0.07952377292300877,0.03679336715695202,0.9773682575785936,-0.213793103448276,23.0,24.0,21.0,20.0
A26,0.5869428426633541,0.25203970049715324,0.8608675975012925,0.2620689655172414,10.0,8.0,9.0,9.0
A27,0.8133599351207499,0.3977608180158391,0.7378924437451437,0.49885057471264366,4.0,4.0,4.0,5.0
A28,0.7716998561616257,0.33360443887360036,0.7920583424874457,0.5103448275862068,5.0,6.0,6.0,4.0
A29,0.09705890299983716,0.0759403138604763,0.9698937907666085,-0.4298850574712645,20.0,17.0,20.0,24.0
A30,0.6050437603751022,0.33363705532660826,0.8314992429486305,0.05517241379310345,9.0,5.0,8.0,16.0
