Ai,V-COMET pref,TOPSIS pref,VIKOR pref,PROMETHEE II pref,V-COMET rank,TOPSIS rank,VIKOR rank,PROMETHEE II rank
$A_{1}$,0.2966460880116758,0.09483908483225816,0.9375264453696721,0.13103448275862062,16.0,16.0,15.0,13.0
$A_{2}$,0.09287664933136831,0.04252181224108373,0.9631208469791142,-0.17241379310344834,19.0,21.0,18.0,18.0
$A_{3}$,0.36461422252658043,0.09747859320830395,0.9181797364002426,0.17701149425287355,14.0,15.0,12.0,10.0
$A_{4}$,0.4419775140393861,0.17249987854755366,0.9147048799842845,0.14022988505747125,11.0,11.0,11.0,11.5
$A_{5}$,0.9858991834078308,0.6214940443029874,0.5,0.7977011494252874,1.0,1.0,3.0,3.0
$A_{6}$,0.05004562189238422,0.03249857027200564,0.9867213750204675,-0.5310344827586208,25.0,25.0,26.0,27.0
$A_{7}$,0.13175144583350068,0.061274391033533784,0.9658053118604216,-0.1862068965517244,18.0,19.0,19.0,19.0
$A_{8}$,0.7728678689090348,0.30673879382317537,0.7982410670149983,0.5862068965517242,6.0,7.0,7.0,4.0
$A_{9}$,0.939569569556524,0.5177307781538383,0.1203864961708214,0.8252873563218391,2.0,2.0,1.0,1.0
$A_{10}$,0.06221158189155585,0.037233686875123025,0.9831011148903215,-0.342528735632184,24.0,23.0,24.0,22.0
$A_{11}$,0.035608365590921,0.030953322913418978,0.9851884522612935,-0.4436781609195403,26.0,26.0,25.0,25.0
$A_{12}$,0.9373766766804936,0.49629611279828356,0.3721720812112527,0.7977011494252875,3.0,3.0,2.0,2.0
$A_{13}$,0.0034479045202231574,0.003578532019705499,0.9990482311872013,-0.7862068965517243,29.0,29.0,29.0,29.0
$A_{14}$,0.08035106742901926,0.04175920358061884,0.9812411433159369,-0.3379310344827588,22.0,22.0,23.0,21.0
$A_{15}$,0.08852532970174358,0.05272411978207234,0.9796202055066954,-0.37471264367816104,21.0,20.0,21.0,23.0
$A_{16}$,0.011268402448065255,0.013062785518428401,0.9952681039999776,-0.6413793103448275,28.0,28.0,28.0,28.0
$A_{17}$,0.16415880290699936,0.06758329140432677,0.9593040827816097,-0.15862068965517256,17.0,18.0,17.0,17.0
$A_{18}$,0.0,0.0015987065247060435,1.0,-0.8459770114942531,30.0,30.0,30.0,30.0
$A_{19}$,0.35088773075504415,0.11288021352523935,0.9326560604149995,0.14022988505747125,15.0,13.0,13.0,11.5
$A_{20}$,0.703544532507871,0.23499265112173834,0.7526756334757781,0.4574712643678161,7.0,9.0,5.0,7.0
$A_{21}$,0.6111762271072358,0.18739778729022352,0.8753101617054977,0.3471264367816092,9.0,10.0,10.0,8.0
$A_{22}$,0.36519525507182504,0.10971533872935257,0.9361457856419768,0.0850574712643678,13.0,14.0,14.0,16.0
$A_{23}$,0.3722941372176561,0.11513005678261273,0.9379565191512529,0.08965517241379295,12.0,12.0,16.0,15.0
$A_{24}$,0.03471585675653906,0.0213943487592693,0.9891596988877962,-0.46666666666666673,27.0,27.0,27.0,26.0
$A_{25}$,0.06672212166167786,0.033230819185166835,0.9798724288911849,-0.27816091954023,23.0,24.0,22.0,20.0
$A_{26}$,0.5781328114989774,0.25620764680369346,0.85863043554847,0.25517241379310346,10.0,8.0,9.0,9.0
$A_{27}$,0.8212973252304882,0.40526700669783294,0.7283854392092841,0.5126436781609196,4.0,4.0,4.0,5.0
$A_{28}$,0.7841108646781638,0.34074911285609516,0.7833948042078678,0.5126436781609195,5.0,5.0,6.0,6.0
$A_{29}$,0.09197405629921256,0.07352421295642626,0.9704030309206462,-0.40459770114942517,20.0,17.0,20.0,24.0
$A_{30}$,0.6280038526649078,0.33365813487578266,0.8253367791928343,0.11494252873563221,8.0,6.0,8.0,14.0
