Ai,VIMET pref,TOPSIS pref,VIKOR pref,PROMETHEE II pref,VIMET rank,TOPSIS rank,VIKOR rank,PROMETHEE II rank
A1,0.170108474865511,0.1784481047536328,0.8973754222748698,-0.20919540229885059,25.0,26.0,21.0,25.0
A2,0.5528379354394722,0.2631938205646817,0.7821208723811834,0.0666666666666666,11.0,15.0,12.0,14.0
A3,0.5044747168678996,0.23568466437839472,0.573617742334703,0.1034482758620689,12.0,19.0,4.0,10.0
A4,0.7818445041372492,0.37026229697769447,0.7190196133318175,0.2597701149425289,5.0,7.0,10.0,5.0
A5,0.4795328935069455,0.2803338903547661,0.8485295207985397,0.09195402298850586,13.0,11.0,14.0,11.0
A6,0.40724501816126013,0.29840522246421125,0.8509909034287889,-0.00919540229885063,16.0,10.0,15.0,16.0
A7,0.2908893981447986,0.25897825207800557,0.8980027865420843,-0.0965517241379309,20.0,16.0,22.0,21.0
A8,0.27052787364825814,0.2316368304688627,0.9100888940279863,-0.08045977011494254,21.0,20.0,24.0,19.0
A9,0.4084421495598183,0.24703938026119812,0.588167316877218,0.13563218390804588,15.0,17.0,5.0,8.0
A10,0.3538271453560047,0.26846650254980364,0.8825209851742772,-0.05977011494252876,18.0,13.0,19.0,18.0
A11,0.08120001739141396,0.17201912230755081,0.989469729290372,-0.37011494252873584,28.0,29.0,29.0,27.0
A12,0.7336659894301588,0.3270471641113094,0.4837471000190101,0.245977011494253,7.0,9.0,2.0,6.0
A13,0.1002882700044769,0.17486176474837456,0.9816982853807562,-0.517241379310345,26.0,27.0,27.0,29.0
A14,0.714341091431869,0.3508465586381284,0.7670835105121798,0.20689655172413796,9.0,8.0,11.0,7.0
A15,0.4690487786593816,0.27558906058288446,0.851258394711786,0.08275862068965517,14.0,12.0,16.0,13.0
A16,0.07018111474418255,0.18766063599658647,0.9882818133650286,-0.37701149425287356,29.0,25.0,28.0,28.0
A17,0.22885080126814225,0.20737631126363518,0.8603671114247974,-0.0850574712643678,22.0,23.0,18.0,20.0
A18,0.09252664259323054,0.2104378129310354,0.9643284323608011,-0.5517241379310347,27.0,22.0,26.0,30.0
A19,0.05146495451495274,0.11819478673974644,1.0,-0.2758620689655172,30.0,30.0,30.0,26.0
A20,0.9011777065240711,0.44067587785841295,0.10957048414794526,0.5310344827586206,2.0,2.0,1.0,1.0
A21,0.21837103249426787,0.19421958628557837,0.8572869019386138,-0.103448275862069,23.0,24.0,17.0,23.0
A22,0.7755220802881386,0.377764681358656,0.7087937288652523,0.26206896551724146,6.0,6.0,9.0,4.0
A23,0.6122932992168821,0.2665385040273568,0.8447805834781121,0.08735632183908065,10.0,14.0,13.0,12.0
A24,0.3565636398531439,0.23856161114793956,0.9009030992800886,-0.09655172413793106,17.0,18.0,23.0,22.0
A25,0.345117468113429,0.2274649077416165,0.8945423923125044,0.11954022988505753,19.0,21.0,20.0,9.0
A26,0.813742426616337,0.42211813686742644,0.6622008701114108,0.30344827586206896,4.0,4.0,7.0,3.0
A27,0.9411625946331396,0.5061061888036317,0.5,0.5080459770114945,1.0,1.0,3.0,2.0
A28,0.17247667391001195,0.17225812587263784,0.9557441950634495,-0.19770114942528721,24.0,28.0,25.0,24.0
A29,0.7227947596741038,0.4033612707172917,0.7014501851691316,-0.03908045977011493,8.0,5.0,8.0,17.0
A30,0.8524553455042033,0.4379181824095775,0.6357529139904732,0.06436781609195402,3.0,3.0,6.0,15.0
