Ai,V-COMET pref,TOPSIS pref,VIKOR pref,PROMETHEE II pref,V-COMET rank,TOPSIS rank,VIKOR rank,PROMETHEE II rank
$A_{1}$,0.19903527267879842,0.19029762690008514,0.8552889089481142,-0.057471264367815855,23.0,22.0,14.0,20.0
$A_{2}$,0.5134916981113362,0.24382831803442448,0.7210410723228129,0.0712643678160918,12.0,18.0,10.0,12.0
$A_{3}$,0.4151541221503084,0.20760535623436258,0.40756793419428106,0.07126436781609197,15.0,21.0,2.0,11.0
$A_{4}$,0.8354973837885601,0.3883987727070797,0.6987559002469016,0.3747126436781605,4.0,5.0,7.0,3.0
$A_{5}$,0.42837865462810376,0.2678706208422816,0.8632528753505869,0.06666666666666682,14.0,13.0,17.0,13.0
$A_{6}$,0.38306066718272336,0.2942422088004088,0.8557494057585129,-0.016091954022988464,18.0,10.0,15.0,17.0
$A_{7}$,0.4011981967569243,0.27408846062947323,0.8713574994472908,-0.15402298850574714,17.0,12.0,19.0,23.0
$A_{8}$,0.5337114039090107,0.25364189426658795,0.8657138226615599,0.06206896551724134,11.0,15.0,18.0,14.0
$A_{9}$,0.44140064519697203,0.21915180832139483,0.5529378616810505,0.14022988505747103,13.0,20.0,5.0,9.0
$A_{10}$,0.35010632198799746,0.24961626929500488,0.9024734821571175,-0.02988505747126441,19.0,16.0,23.0,19.0
$A_{11}$,0.0800070486411105,0.176445341742303,0.9864249756691172,-0.3333333333333335,29.0,27.0,28.0,28.0
$A_{12}$,0.6899424419575697,0.32165538749750155,0.5484384334397547,0.1954022988505747,8.0,9.0,4.0,6.0
$A_{13}$,0.11090474342856775,0.18632928032898893,0.9838059046868735,-0.5379310344827589,27.0,24.0,27.0,30.0
$A_{14}$,0.6015812257328913,0.34008503763276493,0.7750749927149334,0.15402298850574697,9.0,8.0,12.0,8.0
$A_{15}$,0.40687182609921857,0.24564592231033233,0.8874111730714052,0.0436781609195403,16.0,17.0,21.0,15.0
$A_{16}$,0.08049492139766497,0.17968031664581716,0.9893951891207815,-0.3195402298850575,28.0,25.0,29.0,27.0
$A_{17}$,0.209317068954542,0.17871863399614624,0.8496435604476209,-0.14022988505747136,22.0,26.0,13.0,22.0
$A_{18}$,0.242879318422293,0.28761963583006395,0.9065083712461994,-0.4689655172413796,21.0,11.0,24.0,29.0
$A_{19}$,0.05954511423915636,0.11948684729103716,1.0,-0.27356321839080444,30.0,30.0,30.0,25.0
$A_{20}$,0.85217489191487,0.398514449159663,0.3549517614078972,0.4574712643678161,3.0,4.0,1.0,2.0
$A_{21}$,0.14089906622297843,0.140419820266852,0.8724881837033434,-0.2965517241379309,26.0,29.0,20.0,26.0
$A_{22}$,0.737564003577841,0.3497582221786062,0.7470744963742597,0.21839080459770105,6.0,7.0,11.0,5.0
$A_{23}$,0.5883598584644126,0.25404948677393485,0.8630515365988376,0.08045977011494254,10.0,14.0,16.0,10.0
$A_{24}$,0.3195029326861196,0.22326223237494208,0.8920172632021013,-0.12643678160919558,20.0,19.0,22.0,21.0
$A_{25}$,0.19435251530455808,0.16210520276009688,0.9546739291271,0.006896551724138056,24.0,28.0,26.0,16.0
$A_{26}$,0.7596715916597813,0.3823437570338702,0.7196117649498133,0.33333333333333337,5.0,6.0,9.0,4.0
$A_{27}$,0.9172279615815252,0.505006286125732,0.5,0.48505747126436805,1.0,1.0,3.0,1.0
$A_{28}$,0.1687331758792687,0.18850451536977017,0.9446396752230908,-0.1816091954022988,25.0,23.0,25.0,24.0
$A_{29}$,0.7303573510901807,0.3990317044696763,0.7085522629484003,-0.01839080459770126,7.0,3.0,8.0,18.0
$A_{30}$,0.8628813238860243,0.4637294515600103,0.5826884813421715,0.193103448275862,2.0,2.0,6.0,7.0
